striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
Shubman Gill,LSG,15,660,142.86,60.0,24.99
Abhishek Sharma,MI,14,554,162.94,46.17,23.79
PD Salt,RCB,14,499,149.85,45.36,23.12
TM Head,CSK,17,569,155.89,40.64,21.66
Tilak Varma,CSK,17,560,142.13,43.08,21.32
SA Yadav,DC,14,525,150.43,47.73,21.12
GJ Maxwell,RR,14,511,150.29,36.5,20.9
LS Livingstone,SRH,16,589,151.41,45.31,20.8
AM Rahane,KKR,14,500,154.8,41.67,20.6
V Kohli,DC,14,485,143.07,40.42,19.51
SV Samson,GT,14,417,133.23,34.75,18.17
P Simran Singh,SRH,16,509,171.96,33.93,17.97
RD Gaikwad,RCB,14,385,152.78,32.08,17.84
H Klaasen,PBKS,15,477,132.87,43.36,17.43
DJ Hooda,GT,14,396,141.43,33.0,17.25
F du Plessis,CSK,17,442,128.49,27.62,16.83
N Pooran,MI,13,380,133.8,47.5,16.32
KL Rahul,SRH,15,456,139.88,35.08,16.1
DP Conway,GT,13,367,148.58,33.36,15.99
SS Iyer,LSG,15,422,149.12,42.2,15.98
B Sai Sudharsan,MI,14,371,133.94,26.5,15.93
WG Jacks,LSG,13,407,157.14,33.92,15.41
VR Iyer,SRH,16,414,156.82,41.4,14.62
Urvil Patel,DC,13,363,164.25,36.3,14.6
Shashank Singh,PBKS,14,395,179.55,56.43,14.43
RG Sharma,PBKS,16,392,151.35,30.15,14.32
YBK Jaiswal,RR,14,337,171.94,25.92,13.78
Ishan Kishan,KKR,13,330,139.83,25.38,13.6
Dhruv Jurel,LSG,14,352,139.68,39.11,13.33
Nithish Kumar Reddy,GT,13,297,158.82,27.0,12.94
Naman Dhir,GT,12,297,178.92,37.12,12.94
Q de Kock,PBKS,14,353,169.71,25.21,12.9
RR Pant,PBKS,16,353,140.64,25.21,12.9
S Dube,RR,12,306,156.92,34.0,12.52
JC Buttler,KKR,14,303,158.64,27.55,12.48
N Rana,KKR,11,300,194.81,37.5,12.36
C Green,RCB,14,258,147.43,18.43,11.96
DA Miller,RR,13,290,155.91,32.22,11.86
MK Pandey,KKR,14,283,131.63,25.73,11.66
T Stubbs,CSK,15,302,131.88,37.75,11.5
RK Singh,MI,10,250,128.21,41.67,10.73
MP Stoinis,PBKS,13,286,144.44,22.0,10.45
Abishek Porel,DC,10,250,192.31,41.67,10.06
RM Patidar,CSK,16,256,148.84,18.29,9.74
BA Stokes,LSG,12,257,156.71,21.42,9.73
HH Pandya,MI,11,221,138.12,36.83,9.49
SO Hetmyer,RCB,12,204,120.0,18.55,9.45
Sikandar Raza,DC,10,228,138.18,38.0,9.17
Harpreet Brar,RCB,11,182,129.08,22.75,8.43
Ramandeep Singh,RCB,14,176,131.34,14.67,8.16
RA Tripathi,RR,9,194,134.72,24.25,7.93
AR Patel,CSK,11,204,125.15,25.5,7.77
A Badoni,RCB,13,157,105.37,13.08,7.28
AK Markram,SRH,8,198,142.45,33.0,6.99
MK Lomror,SRH,8,185,169.72,30.83,6.53
Rashid Khan,GT,9,142,130.28,23.67,6.19
R Parag,MI,9,144,115.2,20.57,6.18
Azmatullah Omarzai,RR,6,148,166.29,37.0,6.05
Atharva Taide,RR,5,145,152.63,29.0,5.93
N Sindhu,DC,3,144,221.54,48.0,5.79
Bhanu Pania,MI,4,124,126.53,41.33,5.32
JG Bethell,SRH,8,148,126.5,24.67,5.23
