striker,runs,balls,outs,avg,SR,Curr_Tm
MA Agarwal,113,63,7,16.14,179.37,DC
Ankit Kumar,111,80,7,15.86,138.75,RR
D Padikkal,106,72,4,26.5,147.22,KKR
MG Erasmus,101,87,8,12.62,116.09,
BA Stokes,100,67,8,12.5,149.25,RR
SPD Smith,99,95,7,14.14,104.21,CSK
RR Pant,98,60,4,24.5,163.33,GT
R Shepherd,96,66,11,8.73,145.45,GT
Yuvraj Chaudhary,94,69,5,18.8,136.23,
Kumar Kushagra,94,73,6,15.67,128.77,GT
SR Dickson,94,63,3,31.33,149.21,RCB
Waseem Muhammad,92,63,5,18.4,146.03,
DAJ Bracewell,92,46,8,11.5,200.0,
RA Bawa,91,59,7,13.0,154.24,SRH
DW Lawrence,90,63,3,30.0,142.86,DC
JL Smith,89,63,4,22.25,141.27,
Hemang Patel,86,74,7,12.29,116.22,
AM Hardie,83,76,3,27.67,109.21,CSK
Shakib Al Hasan,82,78,3,27.33,105.13,
TB Robinson,82,55,3,27.33,149.09,RR
AR Ramjani,81,93,7,11.57,87.1,PBKS
Usman Khan (2),81,51,2,40.5,158.82,
Azmatullah Omarzai,71,61,6,11.83,116.39,
Sikandar Raza,69,41,4,17.25,168.29,
DJ Bravo,69,48,5,13.8,143.75,
JM Vince,68,54,3,22.67,125.93,
Shaheen Shah Afridi,68,86,7,9.71,79.07,MI
D Ferreira,65,53,7,9.29,122.64,GT
Rashid Khan,63,55,5,12.6,114.55,MI
R Sai Kishore,60,36,3,20.0,166.67,MI
C Connolly,59,39,3,19.67,151.28,PBKS
MA Starc,58,70,10,5.8,82.86,KKR
Jagjit Singh,58,54,2,29.0,107.41,SRH
SR Hain,58,45,3,19.33,128.89,
Jaskaran Singh,53,47,3,17.67,112.77,KKR
Faisal Khan,51,35,3,17.0,145.71,RCB
Samant Jakhar,50,44,4,12.5,113.64,DC
LUVNITH SISODIA,48,31,2,24.0,154.84,LSG
Khrievitso Kense,46,42,5,9.2,109.52,RCB
DR Sams,44,39,4,11.0,112.82,
YS Chahal,43,44,6,7.17,97.73,RCB
Sanvir Singh,43,22,3,14.33,195.45,GT
SL Malinga,42,33,1,42.0,127.27,PBKS
KH Pandya,42,50,3,14.0,84.0,RR
D Potgieter,39,25,2,19.5,156.0,
Mohammad Ghazanfar,37,33,6,6.17,112.12,SRH
JM Coles,37,44,8,4.62,84.09,MI
Arshdeep Singh,37,41,2,18.5,90.24,LSG
JC Archer,36,51,7,5.14,70.59,LSG
Avesh Khan,35,44,7,5.0,79.55,GT
Kuldeep Yadav,35,66,8,4.38,53.03,SRH
M Siddharth,35,24,4,8.75,145.83,CSK
T Natarajan,34,23,4,8.5,147.83,CSK
R Tewatia,34,27,3,11.33,125.93,
M Prasidh Krishna,34,26,3,11.33,130.77,RR
Naseem Shah,34,25,3,11.33,136.0,
AGS Gous,34,19,1,34.0,178.95,KKR
Yudhvir Singh,33,29,3,11.0,113.79,RCB
Ashwin Das,33,27,2,16.5,122.22,LSG
RK Bhui,32,36,3,10.67,88.89,KKR
RS Hangargekar,32,17,3,10.67,188.24,
V Puthur,32,28,3,10.67,114.29,DC
Yuvraj Singh,31,22,2,15.5,140.91,CSK
SN Khan,28,22,2,14.0,127.27,RCB
JJ Bumrah,28,20,6,4.67,140.0,DC
Shahbaz Ahmed,27,22,5,5.4,122.73,LSG
Akshay Karnewar,27,21,0,,128.57,PBKS
Naveen-ul-Haq,26,21,3,8.67,123.81,SRH
Rasikh Salam,26,20,1,26.0,130.0,MI
AV Wankhade,25,27,3,8.33,92.59,CSK
RR Patel,25,30,3,8.33,83.33,RCB
EA Brookes,25,26,3,8.33,96.15,
SS Prabhudessai,24,20,2,12.0,120.0,MI
Ashutosh Aman,23,12,2,11.5,191.67,
JR Hazlewood,23,29,7,3.29,79.31,RR
HJ Manenti,23,30,4,5.75,76.67,CSK
A Raghuvanshi,22,29,5,4.4,75.86,
Z Khan,22,21,1,22.0,104.76,
Yash Thakur,22,26,0,,84.62,MI
S Lamichhane,21,11,2,10.5,190.91,DC
PJ Cummins,21,22,5,4.2,95.45,
Harsh Dubey,21,29,5,4.2,72.41,RCB
Khushdil Shah,21,27,4,5.25,77.78,DC
A Nagwaswalla,21,29,4,5.25,72.41,RR
Sumit Kumar,20,15,0,,133.33,
DJ Hooda,20,17,2,10.0,117.65,
R Ashwin,19,18,3,6.33,105.56,KKR
B Kumar,19,62,4,4.75,30.65,KKR
CV Varun,19,38,5,3.8,50.0,PBKS
SZ Mulani,19,27,2,9.5,70.37,LSG
A Sheth,19,16,2,9.5,118.75,DC
SB Dubey,18,13,2,9.0,138.46,
A Mhatre,18,20,3,6.0,90.0,KKR
A Zampa,18,25,6,3.0,72.0,SRH
Ravi Bishnoi,18,29,4,4.5,62.07,GT
Harshit Rana,18,31,3,6.0,58.06,KKR
M Pathirana,18,35,3,6.0,51.43,RCB
D Visser,18,20,4,4.5,90.0,
Abid Mushtaq,18,15,0,,120.0,
MA Wood,17,11,2,8.5,154.55,
MK Lomror,17,15,1,17.0,113.33,
K Kartikeya,16,12,2,8.0,133.33,LSG
AS Roy,16,10,1,16.0,160.0,GT
Mohammed Shami,16,12,2,8.0,133.33,LSG
Bal Krishna,16,14,1,16.0,114.29,
B Indrajith,15,9,1,15.0,166.67,RCB
Harpreet Brar,15,15,2,7.5,100.0,GT
Fazalhaq Farooqi,15,22,2,7.5,68.18,CSK
KA Maharaj,15,11,2,7.5,136.36,SRH
Salman Nizar,15,18,1,15.0,83.33,
Yashvardhan Dalal,15,14,1,15.0,107.14,DC
