striker,pitch,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
Priyansh Arya,spin,PP,2,9,177,100,5,35.4,177.0,RCB
JP Inglis,spin,Middle,2,10,175,116,6,29.17,150.86,GT
S Dube,neutralish,Middle,2,6,174,114,3,58.0,152.63,RR
FH Allen,pace,Middle,1,6,174,91,4,43.5,191.21,PBKS
SA Yadav,spin,Middle,1,6,174,107,4,43.5,162.62,DC
P Simran Singh,pace,PP,2,8,174,104,4,43.5,167.31,SRH
YBK Jaiswal,neutralish,Middle,2,6,174,100,3,58.0,174.0,RR
RD Rickelton,spin,PP,2,8,172,102,4,43.0,168.63,LSG
R Parag,pace,Middle,1,6,172,95,5,34.4,181.05,GT
JM Sharma,pace,Death,1,7,170,77,1,170.0,220.78,RCB
SP Narine,pace,PP,2,11,170,136,5,34.0,125.0,KKR
RD Gaikwad,spin,PP,1,6,168,102,2,84.0,164.71,GT
RD Rickelton,pace,Middle,1,5,168,95,3,56.0,176.84,LSG
H Klaasen,spin,Middle,1,6,167,116,4,41.75,143.97,CSK
Shashank Singh,spin,Death,1,7,166,83,2,83.0,200.0,PBKS
CH Gayle,neutralish,Middle,1,4,166,80,1,166.0,207.5,CSK
P Simran Singh,neutralish,PP,2,8,166,89,5,33.2,186.52,SRH
GJ Maxwell,pace,Middle,2,5,165,98,1,165.0,168.37,DC
Tarang Gohel,pace,Middle,1,4,165,77,3,55.0,214.29,DC
Shubman Gill,pace,Middle,2,5,165,110,1,165.0,150.0,LSG
YBK Jaiswal,pace,Death,1,5,164,63,1,164.0,260.32,RR
TH David,pace,Middle,1,7,163,92,3,54.33,177.17,PBKS
RD Gaikwad,neutralish,PP,1,7,163,84,2,81.5,194.05,GT
V Kohli,spin,PP,2,8,163,105,3,54.33,155.24,RR
Tilak Varma,spin,PP,1,8,163,91,4,40.75,179.12,CSK
GJ Maxwell,pace,PP,1,8,162,87,4,40.5,186.21,DC
YBK Jaiswal,pace,Middle,1,6,162,103,3,54.0,157.28,RR
R Parag,spin,Middle,2,10,162,99,2,81.0,163.64,GT
MR Marsh,neutralish,PP,2,6,161,97,1,161.0,165.98,SRH
Aniket Verma,spin,Middle,1,7,160,99,3,53.33,161.62,RR
CH Gayle,spin,PP,2,10,160,108,5,32.0,148.15,CSK
P Simran Singh,spin,Middle,1,4,157,94,2,78.5,167.02,SRH
CH Gayle,neutralish,PP,2,7,157,98,3,52.33,160.2,CSK
Shashank Singh,pace,Middle,1,9,156,104,4,39.0,150.0,PBKS
TM Head,pace,Middle,2,8,156,105,5,31.2,148.57,
GJ Maxwell,spin,Middle,1,8,156,106,6,26.0,147.17,DC
RD Rickelton,pace,PP,1,8,154,96,3,51.33,160.42,LSG
Sameer Rizvi,spin,Death,1,7,154,76,5,30.8,202.63,LSG
JC Buttler,pace,Middle,1,9,153,107,7,21.86,142.99,LSG
MP Stoinis,pace,Middle,2,3,153,80,1,153.0,191.25,KKR
SV Samson,pace,PP,1,7,152,88,2,76.0,172.73,GT
Priyansh Arya,neutralish,Middle,2,4,152,87,2,76.0,174.71,RCB
CH Gayle,neutralish,PP,1,6,151,84,2,75.5,179.76,CSK
N Sindhu,pace,Middle,2,7,150,84,3,50.0,178.57,DC
SA Yadav,pace,Death,1,6,150,54,3,50.0,277.78,DC
N Sindhu,pace,PP,1,8,150,95,3,50.0,157.89,DC
MR Marsh,neutralish,Middle,2,5,150,94,2,75.0,159.57,SRH
CH Gayle,pace,Middle,2,5,149,94,2,74.5,158.51,CSK
Abhishek Sharma,spin,Middle,2,5,148,100,4,37.0,148.0,MI
WG Jacks,pace,Middle,2,5,148,99,3,49.33,149.49,LSG
JP Inglis,neutralish,Middle,1,4,148,92,1,148.0,160.87,GT
JM Sharma,spin,Death,2,12,148,83,10,14.8,178.31,RCB
