striker,bowl_type,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
S Dube,Pace,Middle,1,11,216,126,4,54.0,171.43,RR
BJ McMullen,Pace,PP,2,12,215,145,5,43.0,148.28,RR
Sameer Rizvi,Pace,Death,2,13,214,87,3,71.33,245.98,LSG
Tarang Gohel,Pace,PP,2,14,212,120,6,35.33,176.67,DC
Sameer Rizvi,Spin,Death,1,13,209,91,4,52.25,229.67,LSG
WG Jacks,Spin,Middle,1,17,209,134,7,29.86,155.97,LSG
N Sindhu,Spin,Middle,1,13,208,105,6,34.67,198.1,DC
R Parag,Spin,Middle,2,15,207,144,2,103.5,143.75,GT
Shashank Singh,Spin,Death,1,11,206,102,3,68.67,201.96,PBKS
Urvil Patel,Spin,Middle,1,12,206,140,5,41.2,147.14,MI
RM Patidar,Spin,Middle,1,11,203,139,4,50.75,146.04,KKR
SA Yadav,Pace,Middle,1,11,201,121,6,33.5,166.12,DC
AM Rahane,Spin,Middle,1,12,200,139,5,40.0,143.88,MI
Priyansh Arya,Pace,Middle,2,9,200,112,5,40.0,178.57,RCB
N Sindhu,Spin,Middle,2,15,200,108,8,25.0,185.19,DC
Smaran Ravichandran,Pace,Middle,2,10,199,117,5,39.8,170.09,PBKS
Shubman Gill,Pace,Middle,2,10,199,118,2,99.5,168.64,LSG
T Stubbs,Spin,Middle,1,13,197,128,3,65.67,153.91,CSK
PD Salt,Pace,Middle,1,9,196,111,7,28.0,176.58,RCB
R Parag,Pace,Death,2,14,196,90,10,19.6,217.78,GT
Priyansh Arya,Spin,PP,2,14,196,111,6,32.67,176.58,RCB
V Kohli,Spin,PP,2,12,195,116,5,39.0,168.1,RR
VR Iyer,Spin,Middle,1,13,194,136,5,38.8,142.65,SRH
P Simran Singh,Pace,PP,1,14,194,119,7,27.71,163.03,SRH
RD Gaikwad,Spin,Middle,2,10,194,123,5,38.8,157.72,GT
BJ McMullen,Pace,Middle,2,8,192,98,3,64.0,195.92,RR
SS Iyer,Spin,Middle,1,14,192,123,5,38.4,156.1,LSG
WG Jacks,Pace,Middle,2,10,192,127,1,192.0,151.18,LSG
Tilak Varma,Spin,Middle,2,14,192,130,8,24.0,147.69,CSK
JP Inglis,Spin,Middle,1,11,191,117,0,,163.25,GT
WG Jacks,Pace,PP,1,17,191,123,4,47.75,155.28,LSG
YBK Jaiswal,Pace,Middle,1,10,190,115,3,63.33,165.22,RR
YBK Jaiswal,Spin,Middle,1,12,190,110,3,63.33,172.73,RR
CH Gayle,Spin,Middle,2,13,188,127,8,23.5,148.03,CSK
JM Sharma,Pace,Death,2,13,188,84,4,47.0,223.81,RCB
Priyansh Arya,Pace,PP,1,13,188,128,3,62.67,146.88,RCB
JP Inglis,Pace,Middle,1,9,188,119,1,188.0,157.98,GT
CH Gayle,Pace,Middle,1,9,187,114,3,62.33,164.04,CSK
Aniket Verma,Spin,Middle,1,12,186,119,4,46.5,156.3,RR
WL Madsen,Spin,Middle,1,11,185,121,6,30.83,152.89,MI
JP Inglis,Spin,PP,2,11,185,85,2,92.5,217.65,GT
Tilak Varma,Pace,Middle,1,12,185,116,6,30.83,159.48,CSK
KL Rahul,Pace,PP,2,10,185,97,2,92.5,190.72,SRH
N Pooran,Spin,Death,1,10,184,74,2,92.0,248.65,MI
Shubman Gill,Spin,Middle,1,10,184,106,6,30.67,173.58,LSG
GJ Maxwell,Pace,Middle,1,9,184,106,7,26.29,173.58,DC
JM Sharma,Pace,Death,1,9,184,83,2,92.0,221.69,RCB
Tarang Gohel,Spin,Middle,1,9,183,101,4,45.75,181.19,DC
SA Yadav,Pace,Middle,2,12,183,112,6,30.5,163.39,DC
Naman Dhir,Pace,Death,1,11,182,71,3,60.67,256.34,GT
CH Gayle,Spin,PP,1,10,182,107,3,60.67,170.09,CSK
RD Rickelton,Spin,PP,2,13,182,113,4,45.5,161.06,LSG
SV Samson,Pace,PP,1,18,181,119,4,45.25,152.1,GT
SP Narine,Pace,PP,2,17,180,145,7,25.71,124.14,KKR
Priyansh Arya,Spin,Middle,2,11,180,112,5,36.0,160.71,RCB
JM Sharma,Pace,Middle,1,15,179,125,5,35.8,143.2,RCB
N Sindhu,Pace,PP,1,11,179,109,3,59.67,164.22,DC
V Kohli,Spin,Middle,2,11,179,119,7,25.57,150.42,RR
N Sindhu,Pace,Death,2,8,178,63,6,29.67,282.54,DC
SS Iyer,Pace,Middle,1,12,178,114,6,29.67,156.14,LSG
Abishek Porel,Pace,Middle,1,13,177,112,5,35.4,158.04,RR
Sameer Rizvi,Pace,Middle,1,13,176,115,3,58.67,153.04,LSG
Atharva Taide,Pace,Middle,2,8,176,118,2,88.0,149.15,MI
FH Allen,Pace,PP,2,17,176,93,10,17.6,189.25,PBKS
