team,matches_played,points,#Won,#Lost,NRR
PBKS,6,10,5,1,1.1321671525753159
CSK,7,10,5,2,1.1220687003162517
GT,6,8,4,2,0.3614861675007095
KKR,7,8,4,3,-0.2031753487286867
LSG,5,6,3,2,0.27923875432525946
DC,6,4,2,4,0.13917023300047582
RR,6,4,2,4,-0.25656521603688454
SRH,5,4,2,3,-0.3284263959390863
RCB,7,4,2,5,-0.9636114421930877
MI,7,4,2,5,-1.102211747643219
