striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores
A Raghuvanshi,MI,1,3,3,1,0,0,2,0,0,1,100.0,3.0,3.0,inf,66.67,0,0,0
LH Ferguson,SRH,1,2,6,0,0,0,5,2,0,0,33.33,inf,inf,inf,83.33,0,0,0
TU Deshpande,RR,1,1,2,1,0,0,1,1,0,0,50.0,2.0,1.0,inf,50.0,0,0,0
KK Ahmed,GT,1,0,2,0,0,0,2,0,0,0,0.0,inf,,inf,100.0,0,0,0
MA Agarwal,PBKS,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
MJ Suthar,MI,1,0,1,0,0,0,1,0,0,0,0.0,inf,,inf,100.0,0,0,0
MP Yadav,RR,1,0,2,1,0,0,2,0,0,0,0.0,2.0,0.0,inf,100.0,0,0,0
Mohammed Shami,GT,1,0,2,1,0,0,2,0,0,0,0.0,2.0,0.0,inf,100.0,0,0,0
Mukesh Kumar,SRH,1,0,4,1,0,0,4,0,0,0,0.0,4.0,0.0,inf,100.0,0,0,0
Noor Ahmad,KKR,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
SH Johnson,SRH,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
